date,amount,category,description
01-01-2026,4500.0,Income,salary
02-01-2026,1500.0,Expense,rent
10-01-2026,300.0,Expense,grocery
01-02-2026,4500.0,Income,salary
02-02-2026,1500.0,Expense,rent
01-03-2026,4500.0,Income,salary
02-03-2026,1500.0,Expense,rent
15-03-2026,400.0,Expense,grocery
01-04-2026,5000.0,Income,salary
02-04-2026,200.0,Expense,grocery
02-04-2026,150.0,Expense,transport
03-04-2026,1000.0,Income,freelance
07-04-2026,100.0,Expense,transport
08-04-2026,600.0,Expense,grocery
01-05-2026,4800.0,Income,salary
02-05-2026,1500.0,Expense,rent
12-05-2026,380.0,Expense,grocery
01-06-2026,4800.0,Income,salary
02-06-2026,1500.0,Expense,rent
18-06-2026,420.0,Expense,grocery
01-07-2026,4800.0,Income,salary
02-07-2026,1500.0,Expense,rent
04-07-2026,250.0,Expense,grocery
06-07-2026,890.0,Income,trans
